source_path,acc,precision,f1,auc,recall,specificity,model,variant,input_mode,in_channels,image_size,epochs_requested,epochs_run,best_val_auc,threshold,threshold_metric,pretrained,last_n_blocks,warmup_epochs,use_weighted_sampler,use_class_weights,label_smoothing,learning_rate_classifier,learning_rate_backbone,augment,architecture,fourier,train_backbone,train_layer3,threshold_strategy,epochs,Camadas descongeladas,Nº épocas,tp,fp,fn,tn
mobilenet/mobilenetv3_large/complex,0.577,0.577,0.7317691819911224,0.5114987032461866,1.0,0.0,mobilenetv3_large,large,complex,2.0,224.0,2.0,2.0,0.4804107876258612,0.6619228720664978,accuracy,True,4.0,1.0,True,False,0.0,0.001,3e-05,True,,,,,,,,,,,,
mobilenet/mobilenetv3_large/concat,0.572,0.576725025746653,0.7235142118863049,0.604481892564049,0.9705372616984402,0.0283687943262411,mobilenetv3_large,large,concat,4.0,224.0,2.0,2.0,0.6371451874668786,0.0245864987373352,accuracy,True,4.0,1.0,True,False,0.0,0.001,3e-05,True,,,,,,,,,,,,
mobilenet/mobilenetv3_large/concat_frequency,0.561,0.5756578947368421,0.7051712558764271,0.5253532783493329,0.9098786828422876,0.0851063829787234,mobilenetv3_large,large,concat_frequency,6.0,224.0,2.0,2.0,0.6151795177530471,0.3528147637844085,accuracy,True,4.0,1.0,True,False,0.0,0.001,3e-05,True,,,,,,,,,,,,
mobilenet/mobilenetv3_large/frequency_3,0.562,0.5757906215921483,0.7068273092369478,0.5272133928242192,0.9150779896013864,0.0803782505910165,mobilenetv3_large,large,frequency_3,1.0,224.0,2.0,2.0,0.5848093037890832,0.2458084672689438,accuracy,True,4.0,1.0,True,False,0.0,0.001,3e-05,True,,,,,,,,,,,,
mobilenet/mobilenetv3_large/magnitude,0.6729322275168044,0.6843464245773304,0.7366310692931716,0.7412816995763603,0.7975657674062006,0.5053478003144248,mobilenetv3_large,large,magnitude,1.0,224.0,50.0,11.0,0.7994720809865178,0.3510885536670685,accuracy,True,4.0,1.0,True,False,0.0,0.001,3e-05,True,,,,,,,,,,,,
mobilenet/mobilenetv3_large/none,0.7639532391300763,0.9045291024813208,0.761707133028541,0.8704243502722112,0.6578369830849585,0.9066390041493776,mobilenetv3_large,large,none,3.0,224.0,50.0,26.0,0.976886996454064,0.7517393231391907,accuracy,True,4.0,1.0,True,False,0.0,0.001,3e-05,True,,,,,,,,,,,,
mobilenet/mobilenetv3_large/phase,0.6097874655806361,0.6653477325241226,0.6539788677479725,0.6438320684290317,0.6429919976999378,0.5651400737094405,mobilenetv3_large,large,phase,1.0,224.0,50.0,11.0,0.7173586247148154,0.5856344699859619,accuracy,True,4.0,1.0,True,False,0.0,0.001,3e-05,True,,,,,,,,,,,,
resnet/complex,0.6272211138408438,0.648064806480648,0.7020811188319731,0.6804082308127222,0.7659207436868082,0.4407231772377,,,,2.0,224.0,50.0,,0.7361811619136863,0.3509217202663421,,True,,,True,False,,,,True,resnet18,complex,True,True,accuracy,,,,,,,
resnet/concat,0.7615349524861635,0.8722473954834691,0.7670092685074803,0.8636611868991922,0.6844314533518616,0.8652096595448571,,,,4.0,224.0,50.0,,0.9720663003404616,0.5774655938148499,,True,,,True,False,,,,True,resnet18,concat,True,True,accuracy,,,,,,,
resnet/concat_frequency,0.7069915964539124,0.7806015285643592,0.7269971323228185,0.785620883103126,0.6802817576309358,0.7429061106672509,,,,6.0,224.0,50.0,,0.8957888370358994,0.6779006123542786,,True,,,True,False,,,,True,resnet18,concat_frequency,True,True,accuracy,,,,,,,
